VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
1392,CONSTELLATION BRANDS INC,40097,Black Box Chard,10.59,16.99,3000.0,23567,249574.53,5141.0,98587.59,50353.799999999996,2313.4500000000003,79528.99,-150986.94,-153.15004657279886,0.21814401493613952,0.3950226411324905
9552,M S WALKER INC,40425,Mionetto Prosecco Brut,6.42,13.99,750.0,38456,246887.52,17146.0,193854.54,34437.67,1924.5900000000001,55551.82,-53032.97999999998,-27.35709981308665,0.4458602038693572,0.7851937594901517
12546,JIM BEAM BRANDS COMPANY,3696,Gilbeys Vodka,7.6,10.49,1750.0,32485,246886.0,8361.0,89222.39,37215.12,15361.4,123880.97,-157663.61,-176.70857057292457,0.25738032938279204,0.3613910468799365
8112,MOET HENNESSY USA INC,821,Grand Marnier,27.99,38.99,1000.0,8781,245780.19,2308.0,89988.92,51934.68,2423.4,48347.26,-155791.27000000002,-173.1227244420758,0.2628402232092017,0.3661357735950973
12546,JIM BEAM BRANDS COMPANY,2788,Laphroaig 10 Yr Single Malt,31.24,44.99,750.0,7861,245577.63999999998,2849.0,121796.51000000001,71963.28,2244.32,123880.97,-123781.12999999998,-101.62945555664933,0.3624220837043633,0.4959592819606867
1128,BROWN-FORMAN CORP,171,Gentleman Jack,36.76,49.99,1750.0,6664,244968.64,2000.0,103015.0,71116.24,3676.22,68601.68,-141953.64,-137.79900014560988,0.30012004801920766,0.42052321472658705
480,BACARDI USA INC,3436,Bombay Dry Gin,18.79,26.99,1750.0,12950,243330.5,3558.0,89918.42,51638.53,6538.33,89286.27,-153412.08000000002,-170.61251743524855,0.2747490347490347,0.3695320561951749
4425,MARTIGNETTI COMPANIES,39335,Phillips Seven Deadly Znfdl,8.75,14.99,750.0,27503,240651.25,6359.0,92588.33,36586.88,710.52,144929.24,-148062.91999999998,-159.91531546146257,0.2312111406028433,0.3847406984173155
12546,JIM BEAM BRANDS COMPANY,4678,Courvoisier VS Cognac,16.78,24.99,750.0,14303,240004.34000000003,4641.0,106696.59,45796.079999999994,3655.23,123880.97,-133307.75000000003,-124.94096577969364,0.32447738236733553,0.4445610858536974
4425,MARTIGNETTI COMPANIES,32826,Rombauer Carneros Chard,22.41,34.99,750.0,10641,238464.81,3098.0,105212.86,39264.590000000004,346.02000000000004,144929.24,-133251.95,-126.64986960719442,0.2911380509350625,0.44120916624972883
3960,DIAGEO NORTH AMERICA INC,2748,Johnnie Walker Blue Label,240.59,319.99,1750.0,991,238424.69,415.0,130695.85,92177.09,762.82,257032.07,-107728.84,-82.42713138940523,0.41876892028254287,0.5481640764637253
1128,BROWN-FORMAN CORP,8526,Chambord Royale de France,20.43,27.99,750.0,11634,237682.62,3891.0,109451.09,64567.049999999996,3064.57,68601.68,-128231.53,-117.15875100010425,0.33445074780814854,0.4604926098509012
